aligned_fps_from_gvhmr_loader,arm_pose_calibration_enabled,arm_pose_reference_root,backhand_arm_offsets,forehand_right_arm_motion_scale,gmr_init_enabled,gmr_init_reference_root,human_height,lower_body_mode,min_body_z,min_body_z_before_shift,motion_name,output_fps,output_frames,output_npz,reference_strike_frame,reference_strike_time_s,right_arm_strike_pose_offsets,root_xy_mode,skipped_existing,source_frames,source_gvhmr_result,strike_type,target_root_height,waist_mode,z_shift
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7512730360031128,reference_mean,0.025,0.11690673232078552,backhand_manual_001_backhand_0.000_1.937_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_001_backhand_0.000_1.937_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,97,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_001_backhand_0.000_1.937_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7509593963623047,reference_mean,0.025,0.11785098910331726,backhand_manual_002_backhand_1.950_3.940_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_002_backhand_1.950_3.940_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,100,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_002_backhand_1.950_3.940_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7427481412887573,reference_mean,0.025,0.1176258996129036,backhand_manual_003_backhand_3.943_5.950_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_003_backhand_3.943_5.950_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,101,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_003_backhand_3.943_5.950_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7540562152862549,reference_mean,0.025,0.11712491512298584,backhand_manual_004_backhand_0.680_2.580_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_004_backhand_0.680_2.580_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,95,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_004_backhand_0.680_2.580_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7504713535308838,reference_mean,0.025,0.11673874408006668,backhand_manual_005_backhand_2.580_4.500_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_005_backhand_2.580_4.500_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,96,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_005_backhand_2.580_4.500_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7508047819137573,reference_mean,0.025,0.11599064618349075,backhand_manual_006_backhand_4.550_6.650_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_006_backhand_4.550_6.650_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,105,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_006_backhand_4.550_6.650_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7478388547897339,reference_mean,0.025,0.11755755543708801,backhand_manual_007_backhand_0.500_2.450_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_007_backhand_0.500_2.450_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,98,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_007_backhand_0.500_2.450_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7509483098983765,reference_mean,0.025,0.11744802445173264,backhand_manual_008_backhand_2.455_4.500_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_008_backhand_2.455_4.500_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,103,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_008_backhand_2.455_4.500_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,"{'right_shoulder_pitch_joint': 0.0, 'right_shoulder_roll_joint': 0.0, 'right_shoulder_yaw_joint': 0.0, 'right_elbow_joint': 0.0, 'right_wrist_roll_joint': 0.0, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.7551629543304443,reference_mean,0.025,0.11720353364944458,backhand_manual_009_backhand_4.550_6.600_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/backhand/backhand_manual_009_backhand_4.550_6.600_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,103,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/backhand/backhand_manual_009_backhand_4.550_6.600_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,True,,{},1.0,True,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/iphone_manual_hitter_g1_npz_strike43_clean,1.665053129196167,reference_mean,0.025,0.11031962931156158,forehand_manual_011_forehand_1.100_3.100_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/20260902_mqy_capture_g1_npz_v2_pre_align/forehand/forehand_manual_011_forehand_1.100_3.100_50fps__unitree_g1.npz,43,0.86,{},zero_start,False,100,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/20260902_mqy_capture/gvhmr_results/forehand/forehand_manual_011_forehand_1.100_3.100_50fps/hmr4d_results.pt,forehand,0.78,keep,0.0
